name,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14,ctrl_15,ctrl_16,ctrl_17,ctrl_18,ctrl_19,ctrl_20,ctrl_21,ctrl_22,ctrl_23,ctrl_24,ctrl_25,ctrl_26,ctrl_27,ctrl_28
gen_000000_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.278294,0.47156750000000003,0.466485,0.999465,0.0255388,0.0202327,0.00268886,-1.51468,-0.0055982,-0.016022,1.74962,-0.275392,-0.0675651,-1.5493,-0.00630032,-0.0171865,1.79094,-0.282072,-0.0689408,-0.000984073,-0.0351691,-0.0622421,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.51468,-0.0055982,-0.016022,1.74962,-0.275392,-0.0675651,-1.5493,-0.00630032,-0.0171865,1.79094,-0.282072,-0.0689408,-0.000984073,-0.0351691,-0.0622421,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000001_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.277528,0.4715681,0.466509,0.999601,0.0255139,0.0118797,0.00254443,-1.50401,-0.00583917,-0.0160472,1.73036,-0.250098,-0.0675451,-1.53873,-0.00655166,-0.0171996,1.77161,-0.256607,-0.0689186,-0.000533306,-0.0350858,-0.0455407,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.50401,-0.00583917,-0.0160472,1.73036,-0.250098,-0.0675451,-1.53873,-0.00655166,-0.0171996,1.77161,-0.256607,-0.0689186,-0.000533306,-0.0350858,-0.0455407,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000002_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.276771,0.4715682,0.466543,0.999666,0.0254871,0.00364342,0.00239874,-1.49291,-0.00606038,-0.016076,1.71038,-0.224751,-0.0675241,-1.52773,-0.00678226,-0.0172168,1.75158,-0.231113,-0.0688952,-8.40722e-05,-0.0349953,-0.0290749,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.49291,-0.00606038,-0.016076,1.71038,-0.224751,-0.0675241,-1.52773,-0.00678226,-0.0172168,1.75158,-0.231113,-0.0688952,-8.40722e-05,-0.0349953,-0.0290749,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000003_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx+0.00_fy+0.00,-0.276024,0.47156750000000003,0.466588,0.999663,0.0254558,-0.00448575,0.00225202,-1.48136,-0.00626338,-0.016116,1.68969,-0.199356,-0.067504,-1.51627,-0.00699389,-0.0172458,1.73085,-0.205594,-0.0688725,0.000363276,-0.0348923,-0.0128245,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.48136,-0.00626338,-0.016116,1.68969,-0.199356,-0.067504,-1.51627,-0.00699389,-0.0172458,1.73085,-0.205594,-0.0688725,0.000363276,-0.0348923,-0.0128245,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000004_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx+0.01_fy+0.00,-0.275286,0.4715659,0.466643,0.999596,0.0254176,-0.0125116,0.0021046,-1.46936,-0.00644952,-0.016174,1.66828,-0.173911,-0.0674866,-1.50433,-0.00718809,-0.0172934,1.70941,-0.180049,-0.0688524,0.000807925,-0.0347721,0.00321912,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.46936,-0.00644952,-0.016174,1.66828,-0.173911,-0.0674866,-1.50433,-0.00718809,-0.0172934,1.70941,-0.180049,-0.0688524,0.000807925,-0.0347721,0.00321912,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000005_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx+0.02_fy+0.00,-0.274556,0.4715635,0.466708,0.999467,0.0253739,-0.0204432,0.00195569,-1.45687,-0.00661714,-0.0162469,1.64616,-0.148419,-0.0674711,-1.4919,-0.00736318,-0.0173565,1.68726,-0.154479,-0.068834,0.0012514,-0.0346375,0.0190752,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.45687,-0.00661714,-0.0162469,1.64616,-0.148419,-0.0674711,-1.4919,-0.00736318,-0.0173565,1.68726,-0.154479,-0.068834,0.0012514,-0.0346375,0.0190752,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000006_tz+0.01_tx-0.03_ty-0.02_p-0.05_fx+0.03_fy+0.00,-0.273833,0.4715604,0.466782,0.999277,0.0253248,-0.0282896,0.00180483,-1.44389,-0.00676557,-0.0163353,1.62332,-0.122877,-0.0674577,-1.47896,-0.00751855,-0.0174359,1.66442,-0.128882,-0.0688176,0.00169456,-0.0344885,0.0347625,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.44389,-0.00676557,-0.0163353,1.62332,-0.122877,-0.0674577,-1.47896,-0.00751855,-0.0174359,1.66442,-0.128882,-0.0688176,0.00169456,-0.0344885,0.0347625,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000007_tz+0.01_tx-0.02_ty-0.02_p-0.05_fx-0.03_fy+0.00,-0.269071,0.4715662,0.466473,0.999257,0.0255594,0.0287127,0.00283291,-1.52494,-0.00533934,-0.0160054,1.76816,-0.300626,-0.0675853,-1.55944,-0.0060302,-0.0171826,1.80956,-0.3075,-0.068963,-0.00143817,-0.0352406,-0.0792012,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.52494,-0.00533934,-0.0160054,1.76816,-0.300626,-0.0675853,-1.55944,-0.0060302,-0.0171826,1.80956,-0.3075,-0.068963,-0.00143817,-0.0352406,-0.0792012,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000008_tz+0.01_tx-0.02_ty-0.02_p-0.05_fx-0.02_fy+0.00,-0.268294,0.47156750000000003,0.466485,0.999465,0.0255389,0.0202329,0.00268885,-1.51468,-0.00559814,-0.0160217,1.74962,-0.275392,-0.067565,-1.5493,-0.00630025,-0.0171863,1.79094,-0.282072,-0.0689407,-0.000984059,-0.0351693,-0.0622426,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.51468,-0.00559814,-0.0160217,1.74962,-0.275392,-0.067565,-1.5493,-0.00630025,-0.0171863,1.79094,-0.282072,-0.0689407,-0.000984059,-0.0351693,-0.0622426,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
gen_000009_tz+0.01_tx-0.02_ty-0.02_p-0.05_fx-0.01_fy+0.00,-0.267528,0.4715681,0.466509,0.999601,0.025514,0.0118799,0.00254442,-1.50401,-0.0058391,-0.0160469,1.73036,-0.250098,-0.067545,-1.53874,-0.00655159,-0.0171993,1.77161,-0.256607,-0.0689185,-0.000533284,-0.035086,-0.0455411,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0,-1.50401,-0.0058391,-0.0160469,1.73036,-0.250098,-0.067545,-1.53874,-0.00655159,-0.0171993,1.77161,-0.256607,-0.0689185,-0.000533284,-0.035086,-0.0455411,0.2,0.2,0,1.28,0,0,0,0.2,-0.2,0,1.28,0,0,0
